from,to,edge_type
bronze_survival_rate,bronze_correction_trips_removed,directed
raw_max_trip_end_ts,bronze_distance_km_mean,directed
raw_mean_fuel_consumption_ecor,bronze_distance_km_mean,directed
raw_null_count_start_longitude,bronze_duplicate_rows_removed,directed
bronze_rows_dropped_by_rules,bronze_duration_mean,directed
bronze_survival_rate,bronze_excessive_daily_events_units,directed
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,directed
p95_idling_per_100km,bronze_idle_time_invalid_corrected,directed
silver_ingestion_duration_sec,bronze_ingestion_duration_sec,directed
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,directed
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,directed
raw_mean_fuel_consumption_ecol,bronze_mean_fuel_consumption_ecol,directed
bronze_std_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecor,directed
p95_idling_per_100km,bronze_mean_fuel_consumption_ecor,directed
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed
bronze_null_primary_key_rows,raw_null_count_start,directed
bronze_null_primary_key_rows,raw_null_count_unit_id,directed
bronze_rows_dropped_by_rules,bronze_duration_mean,directed
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,directed
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,directed
bronze_survival_rate,bronze_start_after_end_rows,directed
raw_std_fuel_consumption_ecol,bronze_std_fuel_consumption_ecol,directed
bronze_mean_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,directed
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed
bronze_std_fuel_consumption_fms_high,raw_null_count_start_longitude,directed
bronze_survival_rate,bronze_correction_trips_removed,directed
bronze_survival_rate,bronze_excessive_daily_events_units,directed
bronze_survival_rate,bronze_start_after_end_rows,directed
raw_null_count_distance,p95_fuel_per_100km,directed
p95_idling_per_100km,bronze_idle_time_invalid_corrected,directed
p95_idling_per_100km,bronze_mean_fuel_consumption_ecor,directed
p95_idling_per_100km,raw_null_count_idle_time,directed
silver_avg_speed_imputed,raw_avg_speed_mean,directed
raw_ingestion_duration_sec,raw_mean_fuel_consumption_ecor,directed
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed
raw_max_trip_end_ts,bronze_distance_km_mean,directed
raw_max_trip_end_ts,raw_std_fuel_consumption_ecor,directed
silver_vehicle_info_join_miss_rate,raw_max_trip_end_ts,directed
bronze_mean_fuel_consumption_ecol,raw_mean_fuel_consumption_ecol,directed
bronze_distance_km_mean,raw_mean_fuel_consumption_ecor,directed
raw_ingestion_duration_sec,raw_mean_fuel_consumption_ecor,directed
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,directed
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,directed
raw_null_count_idle_time,raw_null_count_avg_speed,directed
silver_avg_speed_imputed,raw_null_count_avg_speed,directed
p95_fuel_per_100km,raw_null_count_distance,directed
raw_null_count_fuel_consumption_fms_low,raw_null_count_distance,directed
raw_poor_gps_coverage_count,raw_null_count_distance,directed
raw_null_count_distance,raw_null_count_fuel_consumption_fms_low,directed
raw_null_count_start_longitude,raw_null_count_fuel_consumption_fms_low,directed
silver_fuel_fms_low_available,raw_null_count_fuel_consumption_fms_low,directed
p95_idling_per_100km,raw_null_count_idle_time,directed
raw_null_count_avg_speed,raw_null_count_idle_time,directed
bronze_null_primary_key_rows,raw_null_count_start,directed
raw_null_count_start_longitude,bronze_duplicate_rows_removed,directed
bronze_std_fuel_consumption_fms_high,raw_null_count_start_longitude,directed
raw_null_count_start_longitude,raw_null_count_fuel_consumption_fms_low,directed
bronze_null_primary_key_rows,raw_null_count_unit_id,directed
raw_null_count_distance,raw_poor_gps_coverage_count,directed
bronze_std_fuel_consumption_ecol,raw_std_fuel_consumption_ecol,directed
raw_max_trip_end_ts,raw_std_fuel_consumption_ecor,directed
raw_mean_fuel_consumption_ecor,raw_std_fuel_consumption_ecor,directed
silver_vehicle_info_join_miss_rate,raw_std_fuel_consumption_ecor,directed
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,directed
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,directed
silver_avg_speed_imputed,raw_avg_speed_mean,directed
silver_avg_speed_imputed,raw_null_count_avg_speed,directed
raw_null_count_fuel_consumption_fms_low,silver_fuel_fms_low_available,directed
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed
silver_ml_large_error_count,silver_ml_imputed_fuel_p95,directed
silver_ml_large_error_count,silver_ml_imputed_fuel_p95,directed
silver_ml_large_error_count,silver_null_vehicle_fuel_subtype_rows,directed
silver_ml_large_error_count,silver_null_vehicle_fuel_subtype_rows,directed
silver_vehicle_type_nulls,silver_null_vehicle_fuel_subtype_rows,directed
silver_vehicle_info_join_miss_rate,raw_max_trip_end_ts,directed
silver_vehicle_info_join_miss_rate,raw_std_fuel_consumption_ecor,directed
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,directed
silver_null_vehicle_fuel_subtype_rows,silver_vehicle_type_nulls,directed
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,directed
